お風呂 ofuro
鶏 niwatori
教会 kyoukai
花火 hanabi
食堂 shokudou
友達 tomodachi
働く hataraku
忙しい isogashii
教室 kyoushitsu
鞄 kaban
靴 kutsu
海岸 kaigan
図書館 toshokan
会議室 kaigishitsu
美術館 bijutsukan
椅子 isu
道 michi
流れる nagareru
座る suwaru
切る kiru
着る kiru
新幹線 shinkansen
閉じる tojiru
設定 sette
実績 jisseki
目標 mokuhyou
将来 shourai
撮る toru
仲間 nakama
聖書 seisho
目茶苦茶 mechakucha
赤ちゃん akachan
住む sumu
洗濯 sentaku
お土産 omiyage
拾い上げる hiroiageru
広い hiroi
早い hayai
短い mijikai
少しい sukoshii
遅い osoi
嫌い kirai
辛い karai
暑い atsui
寒い samui
冷たい tsumetai
逃げる nigeru
